date,Return
2022-02-01,1.2578125
2022-02-02,1.2578125
2022-02-03,1.22070312
2022-02-04,1.25292969
2022-02-07,1.2421875
2022-02-08,1.19921875
2022-02-09,1.14453125
2022-02-10,1.26855469
2022-02-11,1.23339844
2022-02-14,1.22167969
2022-02-15,1.19140625
2022-02-16,1.30761719
2022-02-17,1.28613281
2022-02-18,1.25390625
2022-02-21,1.28125
2022-02-22,1.17871094
2022-02-23,1.25195312
2022-02-24,1.23828125
2022-02-25,1.24804688
2022-02-28,1.25
2022-03-01,1.27050781
2022-03-02,1.19921875
2022-03-03,1.21875
2022-03-04,1.24414062
2022-03-07,1.2265625
2022-03-08,1.24609375
2022-03-09,1.25488281
2022-03-10,1.19140625
2022-03-11,1.15917969
2022-03-14,1.23242188
